0,1,2,3,4,5,6,7,8,9
0.18004254,1.0899054,-0.3446102,0.029135147,-0.2603673,-0.05440689,-0.47899073,-2.3248844,-0.3012971,1.433368
0.16354492,1.0521104,-0.3058321,0.029482594,-0.23313291,-0.05324622,-0.36688536,-2.1480336,-0.3167881,1.4157894
0.1746839,1.0860484,-0.31520516,0.030397136,-0.25181794,-0.054667205,-0.4371938,-2.1608927,-0.28276616,1.4264507
-0.055078875,0.37288576,-0.2653814,0.0022159428,0.10760562,-0.0028917398,0.84032345,-2.6807058,-1.0834757,1.2025851
0.17390147,1.0606943,-0.30467597,0.030737435,-0.24952343,-0.056515254,-0.42194992,-2.1035068,-0.27505636,1.3914722
-0.047757458,0.3812437,-0.25396553,0.0037841327,0.09725554,-0.0050582723,0.81436193,-2.588292,-1.0464913,1.187427
-0.06628106,0.46795186,-0.27434224,-0.00075328816,0.1209432,0.006038668,0.8826399,-2.7781506,-1.1372888,1.3722681
0.16387025,1.0113838,-0.2975689,0.031341225,-0.23209813,-0.054819025,-0.35481748,-2.1012623,-0.30886054,1.3588095
0.09825203,0.81882256,-0.30291024,0.019861836,-0.1295474,-0.03880711,-0.0086085675,-2.3625233,-0.55958104,1.3187952
-0.03649759,0.41221014,-0.25761384,0.004668951,0.08107772,-0.00902105,0.7574378,-2.5779042,-1.0139014,1.1979824
0.121935144,0.93009007,-0.28624576,0.023482788,-0.16576557,-0.04322208,-0.11834042,-2.199588,-0.46374327,1.390218
-0.020134503,0.5620573,-0.2897985,0.0053521446,0.05148686,-0.006840588,0.63169754,-2.7076478,-0.98647535,1.3557504
-0.06496241,0.32319754,-0.3059756,0.0014944248,0.12342282,-3.780313e-05,0.86554986,-2.951004,-1.1633146,1.1824096
0.20138708,1.0832989,-0.3000064,0.035538606,-0.29103512,-0.06741063,-0.56245404,-1.9761751,-0.16528106,1.3277668
0.19955428,1.106835,-0.34321618,0.03381092,-0.29028282,-0.061655093,-0.58071506,-2.2440417,-0.22231527,1.3895363
-0.08598099,0.31282872,-0.28248414,-0.0018324575,0.15400192,0.0053828494,0.98849756,-2.8827195,-1.2121702,1.226609
0.19923198,1.0927839,-0.30617943,0.034776174,-0.288179,-0.06595771,-0.5572265,-2.0196862,-0.17963915,1.3497441
0.24337415,1.1580913,-0.34744218,0.03905048,-0.35625124,-0.07806299,-0.8142557,-2.1086135,-0.061085068,1.3135693
-0.09229199,0.41349038,-0.26408067,-0.0051028566,0.15923163,0.011145609,1.0214722,-2.814211,-1.2202475,1.3766105
0.104364835,0.8990943,-0.31393635,0.015687704,-0.14021315,-0.037498385,-0.045323394,-2.4326882,-0.5628475,1.4227232
0.24628529,1.1634823,-0.35222524,0.0382647,-0.36100402,-0.077910796,-0.8275547,-2.1377153,-0.061730586,1.3177181
-0.09839767,0.343086,-0.28707942,-0.0050306274,0.17055494,0.011182411,1.0438267,-2.9582376,-1.2630779,1.3104188
0.19106692,1.0926139,-0.34149387,0.030789336,-0.27579933,-0.060679547,-0.53163093,-2.2615345,-0.25403,1.4010826
0.19838807,1.0488627,-0.3392048,0.032721154,-0.28598896,-0.06382611,-0.5628076,-2.2191226,-0.22425708,1.3173982
0.12886222,0.9974429,-0.3332398,0.019644588,-0.17986268,-0.041679986,-0.19307145,-2.452529,-0.49036217,1.4807227
-0.093072906,0.3819565,-0.27232185,-0.0044357553,0.16304173,0.011268842,1.026885,-2.8560035,-1.2308567,1.3430352
-0.079227276,0.3288723,-0.33304447,-0.0030148164,0.14354554,0.007629054,0.92479,-3.1770813,-1.2543745,1.2553253
0.21135421,1.0602806,-0.34094712,0.031453904,-0.30634695,-0.06908352,-0.6357428,-2.1973634,-0.18065643,1.2886773
-0.087576784,0.43899554,-0.29426274,-0.006262808,0.15090288,0.009606356,0.98084116,-2.9861503,-1.2427204,1.412646
0.16757275,0.99234164,-0.33478752,0.02638958,-0.238336,-0.055215675,-0.39273512,-2.319104,-0.34437278,1.3458141
0.000355196,0.6231475,-0.2917338,0.007919545,0.02121739,-0.013581874,0.52149695,-2.6435404,-0.9105352,1.377268
0.11005547,0.9111632,-0.32044274,0.018778615,-0.14680755,-0.039485395,-0.0676862,-2.4590745,-0.55759764,1.4289968
0.21320283,1.0956105,-0.35017902,0.033354543,-0.3101294,-0.06577932,-0.6560801,-2.23561,-0.17866784,1.3332763
-0.08804121,0.32976654,-0.35243732,-0.004297745,0.15519874,0.0126244575,0.9528748,-3.3250663,-1.3076295,1.292873
0.23844299,1.1651992,-0.36596185,0.037156936,-0.35465747,-0.07219635,-0.81203586,-2.2215977,-0.09036818,1.3433721
-0.022814438,0.5632535,-0.29472914,0.0024758598,0.05477009,-0.010555747,0.6368786,-2.751802,-0.99808156,1.3693069
0.077006325,0.76977843,-0.31474575,0.016707003,-0.099682495,-0.036027066,0.09509198,-2.511387,-0.648319,1.3278984
0.2545969,1.1469222,-0.35632974,0.040196035,-0.3760078,-0.0797432,-0.8825862,-2.1065762,-0.021356111,1.2642229
-0.09328741,0.42622894,-0.31828475,-0.008071436,0.16138232,0.01275682,0.9968836,-3.1556313,-1.2936089,1.4276654
-0.05474078,0.5028181,-0.30487293,-0.0021929503,0.10492436,-0.0017823376,0.79745394,-2.925776,-1.1279088,1.396723
