0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
0.0962287,0.21584359,-0.13952287,-0.10359424,0.09720629,0.06578751,0.049734488,-0.11499968,0.025693271,0.03169984,-0.057905834,0.10642723,0.41200674,0.1262154,0.1193088,-0.013885323,-0.007230834,0.040238492,-0.14821498,-0.18492748,0.040830527,0.08945738,0.17980868,-0.06790736,-0.07095614,0.18839468,0.108338,-0.15460166,-0.38978675,0.046521243,-0.005296381,0.07013631,-0.3708234,0.05806228,0.059847496,-0.20479533,-0.116035625,0.07163041,0.12894914,-0.014470615,-0.26860458,0.0081523005,0.06366271,-0.19665155,-0.13837332,-0.043550353,0.12629603,0.12658668,-0.0522618,-0.54057086,0.033377517,0.13197984,0.03111271,0.068799496,0.04806774,-0.29706252,0.14177333,-0.07548869,-0.073189504,0.41319382,-0.013381722,-0.031480897,-0.07326401,-0.008801607,-0.048261255,-0.18350661,-0.069536395,0.14382274,-0.005890009,-0.1469912,-0.3050678,0.044636764,-0.052576512,-0.046657637,-0.080070056,0.08378115,0.045516245,-0.10552637,-0.1858235,-0.07627748,-0.0010496902,-0.13786653,0.03145051,-0.033464152,-0.040084656,0.123766184,-0.032751955,0.06494586,0.41622412,0.018892089,-0.009347217,-0.039251946,-0.039207973,-0.019415146,-0.4127623,-0.17336698,0.019366182,-0.33271936,0.045128364,-0.12409721,0.036949072,-0.07263259,-0.022044104,-0.14721924,-0.26562676,-0.0049644546,-0.10299938,0.25434062,-0.015000459,-0.06285463,-0.16182627,0.066137336,-0.029948426,0.032401845,0.069224685,-0.23199368,0.012369097,-0.00015681465,0.28267935,-0.03599602,-0.5260103,-0.014657184,-0.134787,0.11351066,0.011844039,-0.21517055,-0.11213026,0.26254734,0.08175014,-0.16737479,-0.061848223,-0.08529648,-0.06710047,-0.089956604,0.089248545,-0.06304362,0.12141566,-0.026642,-0.48162934,0.041455287,0.6348336,-0.25995976,-0.30737886,-0.39698702,0.06579875,-0.18979023,-0.037961133,0.38860866,0.10611229,-0.25468233,-0.38282275,0.2729315,-0.37008968,0.16291848,-0.4723855,-0.41187873,0.07433644,-0.7212947,-1.1434698,-0.06922785
-0.08217309,-0.0051093986,-0.076997004,-0.01593104,-0.10594513,-0.038277604,-0.0026485776,0.0958176,-0.07025087,0.16556582,-0.01626425,0.0845911,0.15418121,0.4662918,-0.12890744,-0.08453732,-0.22480264,-0.07250737,0.33528313,0.13335033,-0.061728198,0.0911785,-0.07193581,0.14324982,0.035620376,0.13381481,0.06515692,-0.12051156,-0.44822147,-0.0664679,0.079720326,0.27351755,-0.084863245,-0.17444605,0.13188863,-0.021705462,0.10546804,-0.002988791,0.017830351,0.14219256,-0.30614352,0.034992058,0.044564858,-0.12827589,-0.27710488,-0.11793663,-0.015358599,0.03400845,0.17199472,0.024845285,0.0054638283,0.038234208,-0.017225336,0.17979516,0.033099744,0.0755983,-0.20460458,-0.37686735,0.15894948,0.49443096,-0.20539571,0.19896324,0.04813926,0.17977484,0.10417579,0.005586206,-0.04700194,0.022677362,0.08895055,0.076210804,-0.085524835,0.05453929,0.38765696,0.12203563,0.18911503,-0.18711637,0.063484386,0.11570171,-0.04211264,0.08788105,-0.13567786,-0.06161243,-0.05138812,0.01684977,0.050689302,-0.0987852,-0.039614942,-0.053739022,-0.13697547,0.021975204,-0.022230038,-0.0038163047,0.101119794,-0.27067685,-0.13304172,-0.11366857,-0.030876009,-0.018803284,-0.010055003,-0.024380786,-0.17286567,-0.10673709,-0.04572611,-0.05022116,-0.15565114,0.064463064,0.060909692,-0.017460164,0.044495072,0.07412506,-0.12373617,0.33762804,-0.20466888,0.064839154,0.06334018,-0.021890901,0.24609539,-0.17698577,-0.07107882,0.10567955,0.1933332,-0.23045768,-0.06339681,0.088851266,0.031926055,-0.10204551,-0.15916078,-0.19236179,-0.0318972,0.02846207,-0.058092196,0.35939643,-0.031878296,0.007075406,0.20059937,-0.10096714,0.26968527,0.3083507,0.19013189,-0.120580696,-0.8900137,0.4759366,-0.47962505,-0.021393629,-0.2939818,-0.24278268,-1.4619344,0.1700264,-0.2831688,0.3408721,0.03129082,-0.30331963,0.95113033,-0.16701308,0.6691396,0.19166249,0.38827434,0.06961155,-0.007134365,0.12943675
-0.053075336,0.27464646,-0.05079357,-0.016764143,-0.12755223,-0.007968125,0.024743918,-0.002697929,0.12358664,-0.053713165,-0.13931282,0.054203585,-0.09741869,-0.01684565,-0.15617418,0.025250506,0.19199276,0.1307359,0.016487403,0.17998244,-0.08977701,-0.0063697826,0.08616747,0.07493994,-0.038114157,0.13061869,0.048507553,0.045801092,-0.43554434,0.081140384,0.042312436,0.10522521,-0.012685464,-0.058575623,-0.07646247,-0.33928245,0.048695765,0.041898027,-0.11192127,-0.30970794,-0.0448735,-0.25697306,0.084183544,-0.03763488,0.27757257,-0.34572098,-0.082996786,0.008779864,-0.29887837,-0.016215399,-0.02558419,-0.0042027477,0.0082971975,0.09591694,-0.037665308,0.28843677,0.17738488,-0.14764667,0.16304854,0.20189564,-0.023542926,-0.022723634,0.076108605,-0.034535687,0.2532572,0.07056147,0.042484917,0.013218738,0.044043947,0.16892555,-0.15258147,-0.051968582,-0.25815997,0.17607783,-0.22106525,-0.1954375,-0.14127693,-0.16184968,-0.2863456,0.046038024,-0.34027612,0.02203563,-0.026427753,0.09126414,0.0066427025,0.059964817,0.09383038,0.12064938,-0.12039381,0.22588195,-0.013813673,-0.20000386,0.07189631,0.04065838,-0.053059522,-0.20579226,-0.037877575,0.13778485,0.050123397,0.129052,0.077414416,-0.17620784,-0.056175385,0.11636327,0.16648242,-0.12705892,0.061613314,-0.024747659,-0.015984327,0.062194854,0.12611187,0.09833359,0.06314647,0.04942051,-0.013302509,0.0413227,-0.003133423,-0.08670377,-0.21630287,-0.09194152,-0.51263845,-0.0062163826,0.14087124,0.011685849,-0.17233674,0.014371867,-0.095492184,0.060523953,-0.034916382,-0.3921043,0.14243934,-0.23680711,0.076128595,-0.13346279,-0.19704595,0.07869355,-0.18258423,0.09828061,-0.05949717,0.1213736,-0.57580274,0.23329622,-0.44889745,0.12082894,0.51942515,0.43638292,-1.3000011,1.0759791,-0.20503767,0.3364114,-0.58643025,0.31133443,1.0317054,0.059262723,0.6155864,-0.84439117,0.110613935,-0.43085784,-0.99060607,0.33258697
-0.11980562,0.058936886,-0.21185988,0.2702763,0.32560703,-0.025694665,-0.13530135,0.2338459,-0.33692822,-0.17573096,-0.25801292,-0.020134382,-0.20459044,-0.21136406,-0.87608397,0.05656895,0.19154659,-0.43107456,0.3643733,-0.050830446,-0.88368326,-0.02593351,0.13349332,0.41925368,-0.071023054,0.19679068,0.2903223,-0.5597366,0.034965664,0.11654245,0.09363592,0.2901917,-0.70743734,0.19306828,-0.84690833,-0.7130463,0.19813381,0.034047496,-0.07558613,0.23360784,0.040850613,-0.026237004,-0.19264406,-0.08645592,-0.2608582,-0.16930866,0.13781172,0.016508512,-0.41829348,0.24569987,0.14295365,0.42039645,-0.6748557,-0.09716333,-0.21336864,-0.053858534,0.06853742,-0.17367521,-0.07221708,-0.41582847,-0.1358814,-0.09647997,-0.13869834,0.5647261,-0.4690546,0.032714505,-0.13881838,-0.0051080133,-0.18829371,-0.36770916,-0.13019058,-0.16522548,0.028125161,0.2666024,-0.079277165,-0.013744955,0.1148733,-0.2605846,-0.018628554,0.0015597461,-0.01628423,-0.05548497,-0.09974275,-0.34664023,-0.18745315,0.23557584,-0.62852037,-0.47826898,0.61228436,-0.5686201,0.30497694,0.14478448,-0.2973291,-0.036143746,0.18534455,0.017637312,0.07946901,-0.13785768,0.07936945,-0.21754602,-0.108631104,0.08242007,0.013026406,-0.115414806,0.030610843,-0.36515757,-0.03668304,0.027691895,0.05987001,0.25421813,-0.3549763,0.20086166,-0.52546066,-0.008768405,-0.010711862,0.2816266,-0.19687754,0.0832508,-0.024851887,0.045864273,-0.08630627,-0.14700834,0.13030913,0.06748422,-0.039317243,-0.11013421,0.16269584,0.04965715,-0.08861212,-0.47957677,-0.026877219,0.11809895,-0.07675291,0.38907185,-0.019359691,0.15766889,0.024913853,0.060016204,-0.21721636,0.037159406,0.58252925,-0.06627953,0.11907096,-0.34121156,0.45845482,-0.13565657,0.5311207,0.197864,0.1776837,0.19141413,0.5381179,-0.012215748,-0.83942807,0.4600637,-0.098859355,-0.3857442,0.5049944,0.47536647,-1.2059287,0.30178264
-0.26193696,0.17277195,0.0467591,-0.07208284,-0.16502173,0.09357125,-0.26803064,-0.19576433,-0.34686318,-0.2870769,-0.14967693,-0.3889541,-0.083355345,-0.23297073,-0.78868407,0.03452066,0.13122655,-0.055753075,0.18055855,0.17574276,0.10407295,-0.113257766,0.46498588,-0.32729995,0.08098404,0.21594311,-0.09758601,0.07722086,-0.02898832,0.30043817,-0.4378205,-0.5016344,-0.1573274,-0.12161161,0.008592791,0.071157224,0.18181853,0.0798162,0.036944788,-0.049362555,0.2566026,-0.18399738,-0.09160789,0.049893387,-0.021691045,-0.0035645508,-0.5491507,0.088942714,-0.57852924,0.094324216,0.02758426,-0.18205257,-0.26407033,0.3879991,-0.066167705,-0.08981454,0.20967095,0.0331209,-0.09432558,0.42564148,-0.16259174,-0.18358847,-0.27533346,-0.23086137,0.020868154,-0.23471875,-0.018686159,-0.2425568,-0.20119022,-0.44719985,0.067402,-0.19231448,0.0854088,0.079248264,0.18611848,0.08404254,-0.022673307,0.13439572,-0.3263456,0.109626584,0.08071383,-0.0009016927,-0.04478453,-0.20178145,-0.2636279,-0.27357632,-0.21160609,-0.21860728,0.22961415,0.1608137,-0.2008197,0.17727323,-0.3397906,0.13415419,0.37222517,0.23183699,0.14609726,0.13637902,-0.025704991,0.013795859,-0.012354362,-0.06578293,0.19367437,0.05835577,-0.032565,-0.36947817,-0.48687506,-0.17489089,0.026866233,-0.19236462,-0.3226943,-0.18640083,0.0052188053,-0.036514923,0.018968293,-0.05285507,0.07481076,0.059532247,0.04136127,-0.37542605,0.1206244,-0.032251023,-0.10088248,0.050777033,0.054204695,-0.20860681,-0.0024722654,0.061432317,-0.26599133,-0.2533753,0.107361786,-0.44928575,-0.26148129,-0.018530978,-0.070415184,-0.34522474,-0.0045451494,0.18396728,-0.15699084,-0.13501213,0.5129643,-0.23532361,0.2274529,-0.026238421,0.50754184,-0.037495732,0.57128876,-0.118554175,-0.2924581,0.17601061,-0.14577481,-0.44658452,-1.2523199,0.1004868,-1.0459306,-0.059873782,-0.14886272,0.41906103,-0.09143852,-0.68546325
0.15209462,-0.33041906,0.058913637,-0.0645355,-0.44943407,0.062120482,0.2466124,-0.07076739,-0.1303485,-0.047231358,-0.08838336,-0.002430019,0.118906476,0.30526334,-0.21458833,-0.24312744,0.112022094,0.0987585,0.21864776,-0.11470237,-0.11847944,0.0027664166,-0.08616375,0.13278456,0.021444412,0.018952815,0.10586878,0.062873036,-0.09659724,0.035729114,-0.08323651,-0.3125952,0.056604173,-0.124647886,0.34611735,-0.14344479,-0.05212702,-0.046996675,-0.22401348,-0.300338,0.11247943,-0.063792594,-0.022100588,-0.11916765,0.16169833,0.0737871,0.028928414,0.045143194,0.58558613,-0.052673515,0.022272877,0.044752214,-0.12661391,-0.03754805,0.035963595,-0.32358572,0.11300587,-0.05358534,0.20559771,0.014215862,0.029417364,0.0059695295,-0.0006353292,0.06886006,0.24815935,-0.18803816,-0.11107989,0.044201586,0.08367298,0.1805171,-0.06274289,-0.028645346,-0.068368345,0.18134241,-0.08320076,0.05969826,0.00067940826,-0.4707599,-0.16478185,0.021681352,-0.31027764,-0.12035674,-0.030990073,0.100195855,0.06763409,-0.28631133,-0.05061385,-0.12770632,0.026263021,0.013362963,0.19438145,0.042580232,0.04219108,0.1619175,-0.21233442,-0.0062982603,-0.028905232,-0.43297595,0.11694895,-0.1395414,0.0007501509,-0.06656094,0.09210748,-0.004677783,0.0234539,0.017705053,-0.08077791,-0.32119763,-0.13183118,-0.029882481,0.112137064,-0.24676707,-0.07904508,0.10431299,0.0811435,-0.037560437,0.042228144,-0.068611324,-0.28241205,-0.06077558,-0.4945016,-0.08459694,0.06822334,0.012085094,-0.048572466,-0.11907032,0.06487729,-0.0051445505,0.0055309376,-0.1169142,0.20529217,0.17869857,-0.21931389,0.014697549,0.25132918,-0.0073905843,0.11507953,0.13551824,0.2155092,-0.008509595,-0.50029385,-0.18804538,-0.87586635,0.10039631,0.06800018,0.24369192,-0.4339625,1.2132977,0.21100459,0.2694139,-0.3233437,0.29120412,0.70846474,-0.058016248,0.20103899,-0.09835829,-0.5552612,-0.3049624,-0.72620803,0.5629511
-0.06535424,0.2117671,0.033454906,0.02092233,0.1325641,0.088873096,-0.30919304,-0.099105045,0.13229035,0.42146355,-0.2749836,0.38466048,0.5161878,0.49931931,-0.10317751,-1.3070418,-0.046332628,-0.1201152,0.05597067,-0.08617751,-0.16349809,-0.1319117,-0.17390043,0.5651158,0.08250542,-0.14210248,-0.23859654,0.14751779,-0.8719365,0.1933052,0.21705863,0.13122715,-0.16133082,0.104259446,0.06586133,0.19089389,-0.030705862,0.026427092,0.044008702,-0.050892413,0.26215678,0.15755452,0.057661884,-0.1460713,-0.18405911,0.12527585,0.017850231,-0.055253696,0.14727797,0.27053875,0.081009746,-0.23673363,-0.47362173,-0.080133095,-0.5745831,-0.5154452,-0.07369666,0.29199877,-0.16629453,-0.051554777,0.030653778,-0.07700701,-0.2516211,0.32996637,-0.13053021,-0.5496199,-0.022214215,0.03189997,-0.44386682,-0.03905164,0.022991301,0.07872777,-0.16889106,-0.23313482,0.11814342,0.07430291,-0.23150027,-0.13479564,-0.098609,-0.068066336,-0.11173541,-0.25735527,0.003005825,-0.15370199,-0.113521315,0.15907013,0.064879835,-0.17804521,0.08431253,0.19956188,0.2788825,-0.11875077,0.11912968,0.0905011,0.0025876742,-0.54585296,-0.07782995,-0.19141117,-0.044357754,-0.048280008,-0.20315433,0.24760816,0.08385034,-0.18830973,0.009480737,-0.32122222,-0.24439318,0.09879193,0.063740276,-0.04666922,-0.4187188,-0.18622524,0.01277883,-0.025447588,0.12887594,0.17257294,0.06123271,-0.014712954,0.18308762,-0.1516967,-0.063840374,0.10778904,-0.2617311,0.065926366,0.047579475,-0.08890423,0.0929399,-0.12629636,0.18446897,-0.56762564,-0.12849388,-0.16162425,0.01368204,-0.16119795,-0.48183402,-0.19469266,0.055666916,0.08177376,-0.2892891,0.014693148,0.7522356,-1.1173098,-0.03016994,-0.9784665,0.48947057,-0.11232006,0.19182819,-0.59236497,1.1310171,-1.3148154,-0.26544234,0.34586686,-1.0553045,-0.46511218,-0.7112249,-0.3673052,-0.5623263,-0.2526118,-0.77239966,0.033351697
-0.115626775,-0.056922667,-0.11891378,0.0866362,0.043162994,0.14255835,-0.6914843,-0.5338492,-0.4535165,0.6018171,-0.3433334,0.42049643,0.060923725,-0.64809644,-0.4234603,-0.57679677,-0.2554556,-0.109797165,0.15413083,0.28661102,-0.38235953,-0.15552935,-0.023584234,-0.8075587,0.18586099,-0.30445948,-0.056907192,-0.33456242,0.036156934,-0.069187805,-0.11717921,-0.33429995,-0.27686456,0.24459654,0.0687771,0.11371366,0.10671137,0.18199204,0.074131586,0.1761216,-0.49927583,-0.11378238,-0.4023163,0.009981835,-0.2667702,-0.094464235,0.07799602,-0.10585302,0.4734963,-0.33819282,-0.0080120675,0.09787979,-0.10230509,-0.24679114,-0.1473802,-0.93604755,-0.08829346,0.42315993,-0.06890226,0.2533218,-0.09753878,-0.32758185,0.14347738,-0.3804169,0.14066614,-0.3575,-0.0142985815,0.12785773,-0.14340249,-0.078254946,0.12861109,0.14397256,0.031514253,0.3653782,-0.027344406,-0.26933813,0.08972734,-0.32121083,-0.4183925,-0.003987766,0.050099835,0.03869768,0.03310564,0.26323053,-0.2934525,-0.49479574,0.11421518,0.1786069,0.1002771,0.034431465,-0.16151579,-0.3286605,-0.3885711,-0.26963982,-0.6285188,0.09476037,0.4493502,0.115305774,-0.12681898,0.16045703,-0.0055278153,0.14219716,-0.16457054,0.08484707,-0.023879366,-1.1608995,-0.26916662,0.10226348,0.019502373,-0.060946997,0.29473966,0.33547357,-0.018517463,0.16034622,-0.06955488,0.09599503,-0.3692645,0.028072905,0.05979116,-0.47816348,-0.40064877,0.19551866,0.08896438,-0.066157155,-0.23946749,-0.047757283,-0.15608346,-0.43357477,0.019149538,-0.36929718,-0.20126303,0.11998281,-0.33282328,0.2715158,-0.3633864,0.20704989,0.095400825,-0.35991284,0.19117615,0.09420211,0.6287177,0.5483117,-0.22312723,-0.52257305,0.6880019,0.38604456,0.35655817,-0.0063784127,-0.21529697,0.018576311,-0.24699898,-0.49489504,-0.050583553,0.12470724,0.56411433,-0.1457302,-0.48560804,0.16219877,-0.9360424,-0.4505282
0.09809411,0.0040753162,-0.0012437605,0.14620802,0.023980375,-0.16723199,-0.35669515,0.19247268,-0.39440274,-0.02938468,-0.016051693,0.04949429,0.44176197,-0.034866,-0.4860709,-0.37405765,0.20040318,-0.024544569,-0.1900011,-0.33243313,-0.01643632,-0.020646552,-0.011656457,0.07022543,-0.09070295,-0.19402686,-0.21466781,0.16100605,-0.82685786,-0.012292251,0.14725623,-0.00055899087,-0.14537604,-0.24159396,-0.054060347,-0.07736148,-0.21967763,-0.077404656,0.020541776,-0.13104433,-0.088265024,0.14054751,-0.18765575,0.026528668,0.093057655,0.1417961,-0.09259496,0.11883,-0.11703941,-0.054488927,0.0008315815,0.1592035,-0.17811595,0.13630037,-0.07216046,-0.035421252,0.32364532,0.08056898,0.25468612,-0.8344676,-0.14706178,-0.06520515,0.16989338,-0.29629618,0.19234277,-0.5300774,0.09916235,-0.048555784,0.065403596,0.26606005,-0.42670962,0.025849104,-0.02055385,-0.010948969,0.051006578,0.039964557,0.007515507,-0.10635026,-0.011015487,0.05449509,-0.020761684,0.19171652,-0.22407514,-0.015636304,-0.016147127,-0.17102619,-0.100689135,-0.3523279,-0.3516094,0.1821386,-0.94075835,-0.027740806,-0.30507773,0.0040481933,0.0050494443,-0.13788322,0.032951318,-0.19403511,-0.013006214,0.020271216,0.08156871,0.20624459,0.10339824,0.14098226,0.121061794,-0.20762263,0.03871609,-0.011058352,0.035932276,-0.18677944,0.06864141,0.29919526,0.0749249,0.23657086,0.15276924,-0.16850984,-0.014915749,-0.095869035,0.07875622,-0.012888238,-0.20029403,0.21284026,0.050098147,-0.027233848,-0.09250151,0.12247039,0.09093385,-0.69471264,0.17589712,-0.26567596,-0.11564975,-0.17412007,-0.08369984,0.054939717,-0.14653268,-0.09797835,0.06016261,-0.3821521,-0.44742092,0.0890154,-0.22828808,0.24288608,-0.3233396,0.6812448,-0.5695467,0.45411316,-0.47792727,0.9091059,-0.06839944,0.87276417,0.05589927,0.31214747,0.3930776,0.2576582,0.3659635,-0.6622963,0.2911036,-0.57374084,-1.4745783,0.1184992
-0.13179225,0.22150284,-0.10160014,-0.11790838,-0.4223493,-0.030702839,0.0476837,0.1971131,0.18202795,-0.43083867,0.1382408,-0.20583393,-0.34341174,0.16419953,-0.17565799,-0.3652481,-0.19270813,-0.23197901,0.16439663,-0.5183875,0.21457039,0.22338265,0.35294953,-0.56694347,-0.045155287,-0.052580852,-0.094509095,0.109287515,0.11619847,0.51371765,-0.045865286,-0.60425174,-0.07032225,-0.22472136,-0.07138773,-0.98729426,-0.44739747,-0.230333,-0.01882102,0.36450574,0.028658316,-0.022243844,0.19682485,0.056617357,-0.20957613,0.18856256,0.6556176,-0.3206346,0.07624724,0.05761332,-0.12654722,-0.12232139,0.0056163915,-0.1706265,-0.06834379,0.1339412,-0.4900172,0.29816145,-0.61159843,0.12298443,0.06875693,0.2936362,-0.20541956,-0.027108222,-0.5444177,-0.1568868,0.051516015,-0.2585763,0.08474268,-0.02098415,0.0998213,-0.21099098,-0.13351133,-0.19790618,0.06851398,-0.0003034185,-0.14484689,-0.29858592,0.04284375,-0.0487923,0.08780474,0.37144348,-0.020402275,-0.070642404,0.04461572,-0.21658713,-0.4245252,0.012388175,-0.4852899,0.0052607516,0.308133,0.22131798,0.03390727,0.31320825,-0.0766018,0.071354896,-0.2598123,0.536801,-0.30394372,-0.33650228,0.15002364,-0.6170461,0.026933024,-0.15272012,-0.53083104,0.19147405,-0.6392013,0.112697914,-0.072711535,0.09648685,0.103323065,-0.2851337,0.08285571,0.122556955,-0.086809844,-0.066972904,-0.060731597,-0.121886656,-0.54970294,-0.124121815,0.16504747,0.32145235,0.12532684,-0.48851883,-0.0984856,-0.6511147,-0.17143463,-0.16333513,-0.40395874,0.15254587,-0.18047568,-0.7622203,-0.24229188,-0.2824576,0.19012941,0.096301556,0.22437552,-0.06525088,-1.3883519,0.07366043,0.2540421,-0.10907256,0.09877627,-0.07607465,0.47362998,0.06957205,0.24365947,-0.105509445,-0.70608395,-0.72984886,0.1137853,-0.3595304,-0.5505068,-0.089075714,-0.32027146,0.0049963817,0.32996327,0.34196416,-0.216356,0.046017323
